OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
0,1,79447,6248.387746,92
0,1,83582,6248.387746,92
0,1,87879,6248.387746,92
0,1,92151,6266.901179,93
0,1,96629,6266.901179,93
0,1,54170,6272.469201,94
0,1,58174,6272.469201,94
0,1,54058,6285.500589,95
0,1,83680,6290.423447,96
0,1,87967,6290.423447,96
0,1,118061,6290.423447,96
0,1,122217,6290.423447,96
0,1,126490,6290.423447,96
0,1,62391,6290.423447,97
0,1,66858,6290.423447,97
0,1,71250,6290.423447,97
0,1,75527,6290.423447,97
0,1,79539,6290.423447,97
0,1,92244,6290.423447,97
0,1,96719,6290.423447,97
0,1,58034,6299.644374,98
0,1,15165,6311.801303,99
0,1,62293,6318.567478,100
0,1,1726,6338.858759,101
0,1,6055,6338.858759,101
0,1,10588,6338.858759,101
0,1,15153,6350.884833,102
0,1,6044,6350.884833,103
0,1,10579,6350.884833,103
0,1,1875,6356.087274,104
0,1,10584,6363.11543,105
0,1,15156,6363.11543,105
0,1,6208,6366.103675,106
0,1,10735,6366.103675,106
0,1,15303,6366.103675,106
0,1,19570,6366.103675,106
0,1,23610,6366.103675,106
0,1,42673,6373.914755,107
0,1,46440,6373.914755,107
0,1,50310,6373.914755,107
0,1,1720,6375.041859,108
0,1,6049,6375.041859,108
0,1,50357,6398.346913,109
0,1,54158,6398.346913,109
0,1,1890,6425.975925,110
0,1,1858,6491.649839,111
0,1,6189,6491.649839,111
0,1,10712,6491.649839,111
0,1,15280,6524.241234,112
0,1,27441,6644.30838,113
0,1,31198,6644.30838,113
0,1,1715,6728.926659,114
0,1,6045,6728.926659,114
0,1,1702,6749.070298,115
0,1,6033,6749.070298,116
0,1,35092,6762.735956,117
0,1,19525,6765.45178,118
0,1,23560,6765.45178,118
0,1,50312,6765.45178,118
0,1,54117,6765.45178,118
0,1,58115,6765.45178,118
0,1,62393,6765.45178,118
0,1,66860,6765.45178,118
0,1,71253,6765.45178,118
0,1,75528,6765.45178,118
0,1,79540,6765.45178,118
0,1,83682,6765.45178,118
0,1,87970,6765.45178,118
0,1,92245,6765.45178,118
0,1,96720,6765.45178,118
0,1,101262,6765.45178,118
0,1,105790,6765.45178,118
0,1,110247,6765.45178,118
0,1,114218,6765.45178,118
0,1,118065,6765.45178,118
0,1,122221,6765.45178,118
0,1,126494,6765.45178,118
0,1,1837,6765.45178,119
0,1,6164,6765.45178,119
0,1,10688,6765.45178,119
0,1,15258,6765.45178,119
0,1,27536,6765.45178,119
0,1,31284,6765.45178,119
0,1,35176,6765.45178,119
0,1,39080,6765.45178,119
0,1,42674,6765.45178,119
0,1,46441,6765.45178,119
0,1,117932,6780.723989,120
0,1,110111,6780.723989,121
0,1,114099,6780.723989,121
0,1,122080,6782.266187,122
0,1,10567,6807.131243,123
0,1,6062,6847.154443,124
0,1,10595,6847.154443,124
0,1,1833,6879.030676,125
0,1,6159,6879.030676,125
0,1,10685,6879.030676,125
0,1,31280,6879.030676,125
0,1,46436,6879.030676,125
0,1,50306,6879.030676,125
0,1,54113,6879.030676,125
0,1,66850,6879.030676,125
0,1,71241,6879.030676,125
0,1,75521,6879.030676,125
0,1,6229,6897.723623,126
0,1,10755,6897.723623,126
0,1,42669,6907.418769,127
0,1,15326,6912.157794,128
0,1,15254,6918.56864,129
0,1,19519,6918.56864,129
0,1,23556,6918.56864,129
0,1,27532,6918.56864,129
0,1,58111,6918.56864,129
0,1,62383,6918.56864,129
0,1,83552,7063.582104,130
0,1,87849,7063.582104,130
0,1,92118,7065.80645,131
0,1,96593,7065.80645,131
0,1,117929,7065.80645,131
0,1,122076,7065.80645,131
0,1,10722,7069.93858,132
0,1,15290,7069.93858,132
0,1,19555,7069.93858,132
0,1,1863,7078.443957,133
0,1,23593,7078.443957,133
0,1,6197,7086.4908,134
0,1,101133,7095.984813,135
0,1,105660,7095.984813,135
0,1,110110,7095.984813,135
0,1,6238,7136.20286,136
0,1,10764,7136.20286,136
0,1,92236,7258.299421,137
0,1,87958,7258.299421,138
0,1,96756,7345.224754,139
0,1,15291,7368.236737,140
0,1,19556,7368.236737,140
0,1,1865,7393.271891,141
0,1,42577,7429.379312,142
0,1,58001,7429.379312,142
0,1,62256,7429.379312,142
0,1,10558,7429.379312,143
0,1,15135,7429.379312,143
0,1,19417,7429.379312,143
0,1,23437,7429.379312,143
0,1,27414,7429.379312,143
0,1,38973,7429.379312,143
0,1,66721,7429.379312,143
0,1,71110,7429.379312,143
0,1,75399,7429.379312,143
0,1,83551,7480.571507,144
0,1,87848,7480.571507,144
0,1,79423,7486.205497,145
0,1,114269,7488.629348,146
0,1,118122,7488.629348,146
0,1,122282,7488.629348,146
0,1,126550,7488.629348,146
0,1,46346,7518.784173,147
0,1,1686,7550.233222,148
0,1,50213,7553.707133,149
0,1,54025,7558.934216,150
0,1,6024,7559.916047,151
0,1,6202,7560.063377,152
0,1,10727,7560.063377,152
0,1,15295,7560.063377,152
0,1,19559,7560.063377,152
0,1,23598,7560.063377,152
0,1,35209,7560.063377,152
0,1,39118,7560.063377,152
0,1,50345,7560.063377,152
0,1,54146,7560.063377,152
0,1,58146,7560.063377,152
0,1,62427,7560.063377,152
0,1,66901,7560.063377,152
0,1,71292,7560.063377,152
0,1,75568,7560.063377,152
0,1,79585,7560.063377,152
0,1,83728,7560.063377,152
0,1,88011,7560.063377,152
0,1,92286,7560.063377,152
0,1,96759,7560.063377,152
0,1,27574,7560.063377,153
0,1,31322,7560.063377,153
0,1,42714,7560.063377,153
0,1,46473,7560.063377,153
0,1,101298,7560.063377,153
0,1,105827,7560.063377,153
0,1,6012,7575.886008,154
0,1,10546,7575.886008,154
0,1,15127,7575.886008,154
0,1,19411,7575.886008,155
0,1,23432,7575.886008,155
0,1,27408,7580.16452,156
0,1,31167,7580.16452,156
0,1,35062,7580.16452,156
0,1,38969,7580.16452,156
0,1,42571,7580.16452,156
0,1,46342,7580.16452,156
0,1,50206,7580.16452,156
0,1,10556,7589.93312,157
0,1,15133,7589.93312,157
0,1,110282,7592.059808,158
0,1,114258,7592.059808,158
0,1,118109,7592.059808,158
0,1,122270,7592.059808,158
0,1,126540,7592.059808,158
0,1,19415,7597.657012,159
0,1,23435,7597.657012,159
0,1,62404,7605.652659,160
0,1,66875,7605.652659,160
0,1,71267,7605.652659,160
0,1,75544,7605.652659,160
0,1,79556,7605.652659,160
0,1,83701,7605.652659,160
0,1,87985,7605.652659,160
0,1,92258,7605.652659,160
0,1,96730,7605.652659,160
